epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,699.928,0.46483,0.59178,1.02435,0.70371,1,0.91172,0.84949,0.47866,1.48457,1.14122,0.0006932,0.0006932,0.0006932
68,709.958,0.45197,0.60132,1.03829,0.74051,0.99884,0.94039,0.86384,0.46482,1.39635,1.11628,0.0006734,0.0006734,0.0006734
69,719.915,0.57233,0.71041,1.19013,0.74051,0.99884,0.94039,0.86384,0.46482,1.39635,1.11628,0.0006536,0.0006536,0.0006536
70,729.898,0.51289,0.7196,1.08131,0.77965,0.88504,0.94198,0.88116,0.41037,1.39496,1.05332,0.0006338,0.0006338,0.0006338
71,739.826,0.49615,0.64232,1.00475,0.77965,0.88504,0.94198,0.88116,0.41037,1.39496,1.05332,0.000614,0.000614,0.000614
72,749.773,0.40838,0.575,0.97175,0.86407,0.95369,0.98098,0.95241,0.36852,1.29055,1.00323,0.0005942,0.0005942,0.0005942
73,760.124,0.39961,0.58153,0.94857,0.86407,0.95369,0.98098,0.95241,0.36852,1.29055,1.00323,0.0005744,0.0005744,0.0005744
74,770.142,0.38263,0.57612,0.97108,0.99051,1,0.995,0.92581,0.40591,1.07778,1.03309,0.0005546,0.0005546,0.0005546
75,780.183,0.45567,0.61115,0.99703,0.99051,1,0.995,0.92581,0.40591,1.07778,1.03309,0.0005348,0.0005348,0.0005348
76,790.244,0.38721,0.56942,0.97305,0.99592,1,0.995,0.88737,0.46291,1.00941,1.11215,0.000515,0.000515,0.000515
77,800.665,0.48805,0.67619,1.05279,0.99592,1,0.995,0.88737,0.46291,1.00941,1.11215,0.0004952,0.0004952,0.0004952
78,810.748,0.39395,0.55689,0.96034,0.99665,1,0.995,0.90441,0.45269,0.95442,1.11349,0.0004754,0.0004754,0.0004754
79,820.815,0.42741,0.55094,1.02546,0.99665,1,0.995,0.90441,0.45269,0.95442,1.11349,0.0004556,0.0004556,0.0004556
80,830.739,0.40317,0.53644,0.96324,0.99667,1,0.995,0.92531,0.41541,0.90921,1.06324,0.0004358,0.0004358,0.0004358
81,840.652,0.33427,0.49499,0.97652,0.99667,1,0.995,0.92531,0.41541,0.90921,1.06324,0.000416,0.000416,0.000416
82,850.529,0.51882,0.80493,1.12068,0.99699,1,0.995,0.93555,0.37128,0.85038,1.0249,0.0003962,0.0003962,0.0003962
83,860.509,0.46497,0.5264,1.05762,0.99699,1,0.995,0.93555,0.37128,0.85038,1.0249,0.0003764,0.0003764,0.0003764
84,870.6,0.38464,0.50443,1.01857,0.99728,1,0.995,0.95643,0.33733,0.83847,0.99908,0.0003566,0.0003566,0.0003566
85,880.532,0.38977,0.53672,1.04643,0.99728,1,0.995,0.95643,0.33733,0.83847,0.99908,0.0003368,0.0003368,0.0003368
86,891.227,0.42458,0.56992,0.98897,0.9973,1,0.995,0.94316,0.3559,0.84453,1.01496,0.000317,0.000317,0.000317
87,901.481,0.40385,0.56044,0.97117,0.9973,1,0.995,0.94316,0.3559,0.84453,1.01496,0.0002972,0.0002972,0.0002972
88,911.814,0.35608,0.5155,1.00419,0.99717,1,0.995,0.91599,0.4075,0.86602,1.07193,0.0002774,0.0002774,0.0002774
89,922.256,0.39323,0.51187,0.97794,0.99717,1,0.995,0.91599,0.4075,0.86602,1.07193,0.0002576,0.0002576,0.0002576
90,933.421,0.38273,0.51602,0.9915,0.99704,1,0.995,0.9063,0.44416,0.87991,1.11137,0.0002378,0.0002378,0.0002378
91,944.513,0.34311,2.09246,1.01521,0.99704,1,0.995,0.9063,0.44416,0.87991,1.11137,0.000218,0.000218,0.000218
92,955.576,0.35586,1.31382,0.98213,0.99684,1,0.995,0.90072,0.4531,0.8766,1.11806,0.0001982,0.0001982,0.0001982
93,966.589,0.44,1.22077,1.07429,0.99684,1,0.995,0.90072,0.4531,0.8766,1.11806,0.0001784,0.0001784,0.0001784
94,977.172,0.38933,1.07621,0.97915,0.99684,1,0.995,0.89691,0.4607,0.87813,1.12057,0.0001586,0.0001586,0.0001586
95,987.692,0.33042,1.09598,1.03805,0.99684,1,0.995,0.89691,0.4607,0.87813,1.12057,0.0001388,0.0001388,0.0001388
96,998.242,0.29272,0.92129,0.98145,0.99713,1,0.995,0.89586,0.4504,0.88474,1.10483,0.000119,0.000119,0.000119
97,1008.89,0.35175,0.95468,0.97651,0.99713,1,0.995,0.89586,0.4504,0.88474,1.10483,9.92e-05,9.92e-05,9.92e-05
98,1019.36,0.38096,1.06401,0.98865,0.9972,1,0.995,0.90771,0.43138,0.88425,1.07835,7.94e-05,7.94e-05,7.94e-05
99,1029.28,0.40679,0.94739,1.04959,0.9972,1,0.995,0.90771,0.43138,0.88425,1.07835,5.96e-05,5.96e-05,5.96e-05
100,1039.45,0.34478,0.89613,1.01591,0.99713,1,0.995,0.93076,0.41008,0.87697,1.05152,3.98e-05,3.98e-05,3.98e-05
